Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
12/01/2024,15234,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Pending Applications,"Can the Minister provide a list, categorized by locality, of the number of individuals currently on the waiting list for social housing as of December 2023?","I am tabling the requested information which provides a breakdown of applications currently being processed by the Housing Authority, listed by locality and priority status."
15/01/2024,18902,Chris Said,Gozo,Gozo - Mgarr Road Reconstruction,"Can the Minister state the expected completion date for the reconstruction works on the main artery leading to Mgarr, and provide a detailed timeframe for the remaining phases?","Works are proceeding according to the established schedule. It is anticipated that the final asphalt layer will be laid by the end of the second quarter of 2024, barring any unforeseen geological challenges."
18/01/2024,22145,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Education - School Maintenance Expenditure,Will the Minister publish a detailed breakdown of the funds allocated for the maintenance of primary schools in the Northern district during the last scholastic year?,The information requested regarding maintenance expenditure for primary schools in the specified region is being compiled and will be placed on the Table of the House in a future sitting.
22/01/2024,25678,Jerome Caruana Cilia,"Economy, European Funds and Lands",Economy - SME Grant Scheme,Can the Minister table a list of all private entities that received grants under the 'Green Innovation' scheme during the 2023 fiscal year?,I am tabling a document containing the names of the beneficiaries and the respective amounts disbursed under the Green Innovation scheme for the period requested.
25/01/2024,28412,Graziella Attard Previ,Health and Active Ageing,Health - Active Ageing Staffing,Can the Minister provide a breakdown of the current nurse-to-patient ratio in state-run residential homes for the elderly?,The Ministry maintains high standards of care. I am tabling a report showing the average staffing complements across all state-run homes for the elderly as of January 2024.
30/01/2024,31005,Rebekah Borg,Justice and Reform of the Construction Sector,Construction - Safety Audits,Will the Minister table the findings of the safety audit conducted on high-rise construction sites in the St. Julian's area during the previous six months?,The Building and Construction Authority (BCA) has concluded its periodic audits. A summary of the findings and the corrective measures issued is being tabled for the information of the House.
02/02/2024,33456,Ivan Castillo,"Transport, Infrastructure and Public Works",Transport - Ferry Service Contract,"Can the Minister confirm if the contract for the inter-island fast ferry service has been renewed, and if so, will the Minister table a copy of the new agreement?","The contractual negotiations have been finalized. A copy of the service agreement, excluding commercially sensitive clauses, is being placed on the Table of the House."
05/02/2024,35890,Ivan Bartolo,"Home Affairs, Security, Reforms and Equality",Home Affairs - Police Station Renovations,Can the Minister provide a list of police stations currently undergoing renovation and the projected budget for each project?,"I am tabling a list of police stations included in the current modernization program, along with the estimated investment for each locality as per the 2024 budgetary allocations."
08/02/2024,37211,Chris Said,"Environment, Energy and Regeneration of the Grand Harbour",Environment - Offshore Wind Farm Tender,Will the Minister provide a specific timeframe for the issuance of the international tender for the proposed offshore wind farm project?,Preliminary environmental impact assessments are nearing completion. It is expected that the expression of interest for the offshore energy project will be published by the end of the current year.
12/02/2024,39543,Justin Schembri,Prime Minister,Prime Minister - Consultancy Services,Can the Prime Minister provide a breakdown of the total expenditure on external consultancy services engaged by the Office of the Prime Minister between January and June 2023?,The information requested is being compiled and will be provided in a subsequent sitting once all relevant invoices have been verified.
