Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/03/2024,12456,Ivan Bartolo,Justice and Reform of the Construction Sector,Delays in Processing Construction Permits - Lack of Transparency,"To ask the Minister responsible for Justice and Reform of the Construction Sector what measures are being taken to address the alarming backlog in construction permit applications, with reports indicating processing times exceeding 18 months, and whether there is a lack of transparency in prioritisation criteria?","The Ministry acknowledges the importance of timely processing of construction permits and is implementing measures to streamline procedures. A dedicated task force has been established to assess and expedite applications. Prioritisation is based on statutory deadlines and critical project timelines, with full transparency maintained through quarterly updates on the Ministry's official website."
22/03/2024,12489,Chris Said,Health and Active Ageing,Hospital Equipment Procurement - Failure to Meet Urgent Needs,"To ask the Minister responsible for Health and Active Ageing why procurement for essential medical equipment, such as MRI machines and surgical tools, continues to be delayed, despite repeated assurances of urgency, and whether this reflects a systemic failure in public health procurement?","The Ministry is actively pursuing procurement for critical medical equipment. Bidding processes have been initiated, and the necessary funds have been allocated. Delays are primarily due to stringent EU tendering regulations, which must be adhered to for compliance. The Ministry remains committed to ensuring these lifesaving resources are delivered as swiftly as possible."
05/04/2024,12512,Justin Schembri,"Transport, Infrastructure and Public Works",Public Transport Reliability - Chronic Service Disruptions,"To ask the Minister responsible for Transport, Infrastructure and Public Works what concrete actions are being taken to address the persistent unreliability of public transport services, with commuters reporting an average of three breakdowns per week per bus line, and whether this indicates a failure in infrastructure maintenance?","The Ministry recognises the frustration caused by service disruptions and has allocated additional funds for emergency repairs and preventive maintenance. A real-time monitoring system is being implemented to identify and address issues promptly. The reliability of public transport remains a priority, and the Ministry is committed to delivering consistent service."
12/04/2024,12545,Jerome Caruana Cilia,"Environment, Energy and Regeneration of the Grand Harbour",Grand Harbour Regeneration - Missing Deadlines and Unfulfilled Promises,"To ask the Minister responsible for Environment, Energy and Regeneration of the Grand Harbour why the regeneration projects for the Grand Harbour are falling behind schedule, with key milestones such as the new cruise liner terminal and waterfront promenade delayed by over two years, and whether this reflects mismanagement of EU funds?","The Ministry is aware of the delays in Grand Harbour regeneration projects and is actively working to accelerate progress. Challenges such as unforeseen archaeological findings and procurement delays have impacted timelines. The Ministry assures that all projects are on track to meet revised deadlines, with EU funds being utilised in full compliance with regulations."
19/04/2024,12578,Graziella Attard Previ,Social Policy and Children's Rights,Child Protection Services - Inadequate Support for Vulnerable Families,"To ask the Minister responsible for Social Policy and Children's Rights what steps are being taken to address the critical shortage of social workers and caseworkers in child protection services, which has left hundreds of vulnerable families without adequate support, and whether this constitutes a breach of the state's duty of care?","The Ministry is actively recruiting additional social workers and caseworkers to address staffing shortages. Training programmes have been expanded, and temporary measures such as outsourcing have been implemented to fill gaps. The Ministry remains fully committed to safeguarding the welfare of children and vulnerable families."
26/04/2024,12611,Rebekah Borg,"Education, Sport, Youth, Research and Innovation",School Infrastructure Failures - Persistent Structural Issues,"To ask the Minister responsible for Education, Sport, Youth, Research and Innovation why so many state schools continue to suffer from structural failures such as leaking roofs, cracked walls, and inadequate ventilation, despite repeated pledges to address these issues, and whether this reflects a failure in long-term planning?","The Ministry has identified the most critical infrastructure issues and is prioritising repairs through a phased approach. A comprehensive audit of all state schools has been conducted, and necessary funds have been allocated. The Ministry assures that all structural issues will be resolved within the next two years."
03/05/2024,12644,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Police Response Times - Failure to Meet National Standards,"To ask the Minister responsible for Home Affairs, Security, Reforms and Equality why police response times in high-density areas continue to exceed national benchmarks, with emergency calls taking an average of 20 minutes to be addressed, and whether this indicates a systemic failure in resource allocation?","The Ministry is reviewing police deployment strategies to improve response times in high-density areas. Additional resources, including patrol vehicles and personnel, have been allocated. A new digital dispatch system is being implemented to enhance coordination and efficiency."
10/05/2024,12677,Ivan Bartolo,"Economy, European Funds and Lands",Land Registry Delays - Impact on Economic Growth,"To ask the Minister responsible for Economy, European Funds and Lands what measures are being taken to address the chronic delays in the Land Registry, which are stifling economic growth by preventing timely property transactions and business expansions, and whether this reflects inefficiencies in digital transformation?","The Ministry is accelerating the digitalisation of the Land Registry to reduce processing times. A new online platform is being developed to streamline transactions, and additional staff have been recruited. The Ministry assures that these measures will significantly reduce delays within the next 12 months."
17/05/2024,12710,Chris Said,Prime Minister,Government Accountability - Failure to Deliver on Key Promises,"To ask the Prime Minister why several key government promises, including the introduction of a national minimum wage and the expansion of free childcare services, remain unfulfilled two years after taking office, and whether this reflects a lack of political will or administrative incompetence?","The government remains committed to delivering on its promises, including the introduction of a national minimum wage and expanded childcare services. These initiatives require careful planning and consultation with stakeholders to ensure successful implementation. Progress updates will be provided in due course."
24/05/2024,12743,Justin Schembri,Gozo,Gozo Ferry Service Failures - Chronic Delays and Cancellations,"To ask the Minister responsible for Gozo why the Gozo ferry service continues to experience chronic delays and cancellations, with passengers stranded for hours and businesses in Gozo suffering financial losses, and whether this constitutes a breach of the state's duty to ensure reliable connectivity?",The Ministry is addressing operational challenges in the Gozo ferry service through increased maintenance and additional vessel deployments. A new scheduling system is being tested to improve reliability. The Ministry assures that these measures will significantly enhance service consistency in the coming months.
