Date,PQ No.,MP,Question (EN),Answer (EN)
15/03/2024,23875,Chris Said,"Minister, can you provide an update on the progress of the implementation of the new maritime regulations concerning coastal development?","The Ministry of Environment, Energy and Regeneration of the Grand Harbour acknowledges the ongoing review and anticipates further refinements to the regulations. A preliminary timeline for full implementation is currently under assessment, pending further consultations."
22/03/2024,31922,Ivan Bartolo,"Minister, what measures are being taken to address the increasing concerns regarding the accessibility of public transport for elderly citizens?","The Ministry of Economy, European Funds and Lands is exploring various solutions, including pilot schemes for adapted transport options, and anticipates commencing a phased approach within the next six to twelve months."
29/03/2024,40511,Justin Schembri,"Minister, what is the projected timeframe for the completion of the refurbishment works at the St. George's Bay promenade?","The Ministry of Transport, Infrastructure and Public Works is working diligently to finalize the design specifications. The commencement of construction is dependent on securing final approvals, which are expected within the next quarter."
05/04/2024,27689,Jerome Caruana Cilia,"Minister, can you outline the government’s strategy for mitigating the impact of rising energy costs on small businesses?","The Ministry of Economy, European Funds and Lands is actively monitoring the energy market and is prepared to implement targeted support measures, contingent upon the evolving economic landscape."
12/04/2024,35148,Graziella Attard Previ,"Minister, what steps are being taken to ensure the effective integration of newly arrived asylum seekers into Maltese society?","The Ministry of Home Affairs, Security, Reforms and Equality is focusing on delivering language training and cultural orientation programs, with expansion plans dependent on resource availability."
19/04/2024,18933,Rebekah Borg,"Minister, what is the anticipated date for the publication of the revised curriculum framework for primary education?","The Ministry of Education, Sport, Youth, Research and Innovation is progressing with the final stages of the review process, with publication anticipated within the next eighteen to twenty-four weeks."
26/04/2024,42207,Ivan Castillo,"Minister, what measures are being considered to enhance the safety of cyclists on Malta’s roads?","The Ministry of Transport, Infrastructure and Public Works is undertaking a comprehensive review of road safety protocols, and is exploring potential enhancements to infrastructure, with a focus on pilot projects."
03/05/2024,39654,Chris Said,"Minister, can you provide details regarding the proposed investments in renewable energy sources?","The Ministry of Environment, Energy and Regeneration of the Grand Harbour is actively assessing various renewable energy projects, with a commitment to prioritizing schemes that align with national sustainability objectives."
10/05/2024,21586,Ivan Bartolo,"Minister, what is the government’s plan to improve the provision of childcare services across the islands?","The Ministry of Social Policy and Children’s Rights is undertaking a needs assessment and is exploring options for expanding childcare facilities, with a phased implementation planned over the next three to five years."
17/05/2024,37019,Justin Schembri,"Minister, what steps are being taken to address the backlog in the processing of applications for planning permits?","The Ministry of Justice and Reform of the Construction Sector is committed to streamlining the planning application process, and anticipates improvements through the implementation of digital solutions, expected to yield results within the coming months."
