Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
12/02/2024,15432,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Northern District,"Can the Minister provide the number of social housing units currently under construction in the Northern District, categorized by locality?","The Housing Authority is currently overseeing the construction of 142 units in the Northern District, with 60 units in Mellieħa, 42 in San Pawl il-Baħar, and 40 in Naxxar."
15/02/2024,15678,Chris Said,Gozo,Gozo Rural Roads - Maintenance Schedule,Can the Minister list the rural roads in Gozo that are scheduled for resurfacing or major maintenance works during the second half of this year?,"The Ministry for Gozo has identified Triq ir-Razzett, Triq il-Wied, and Triq il-Kantra for resurfacing works, which are expected to commence in the third quarter of the year."
19/02/2024,16102,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Primary Schools - Student Enrollment,What is the total number of students currently enrolled in state primary schools within the Ħ'Attard and Balzan catchment areas for the 2023/2024 scholastic year?,"For the current scholastic year, there are 412 students enrolled in the Ħ'Attard primary school and 388 students in the Balzan primary school."
22/02/2024,16445,Jerome Caruana Cilia,"Economy, European Funds and Lands",EU Funds - SME Digitalization,Can the Minister state the total value of grants disbursed to local small and medium enterprises under the 'Digital Transformation' scheme throughout 2023?,"In 2023, the managing authority disbursed a total of €3,150,000 to 48 SMEs to assist in their digital transformation projects."
26/02/2024,16891,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Waiting Lists,Can the Minister provide the current number of individuals on the waiting list for long-term residential care in state-operated nursing homes?,"As of the end of January, there were 1,085 individuals on the waiting list for long-term residential care in state-operated facilities."
01/03/2024,17220,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Renewable Energy - Solar Rebates,How many households successfully applied for the solar panel rebate scheme between June and December of last year?,"During the period between June and December, the Regulator for Energy and Water Services approved 1,240 applications for the residential solar panel rebate."
05/03/2024,17556,Ivan Castillo,"Transport, Infrastructure and Public Works",Public Transport - Route 13A Frequency,Can the Minister provide data on the average trip frequency for bus route 13A during peak morning hours (07:00-09:00) over the past month?,Operational data for the last month shows that route 13A maintained an average frequency of 12.5 minutes during the morning peak hours.
08/03/2024,17882,Chris Said,Justice and Reform of the Construction Sector,Construction Sector - License Renewals,How many site manager licenses were renewed by the Building and Construction Authority during the last two quarters?,The Building and Construction Authority processed and approved the renewal of 342 site manager licenses during the last two quarters of the previous year.
12/03/2024,18210,Justin Schembri,"Home Affairs, Security, Reforms and Equality",Police Force - Academy Graduates,Can the Minister state the number of new police recruits who successfully graduated from the Academy and were sworn in during the 2023 calendar year?,A total of 64 new recruits successfully completed their training at the Academy of the Disciplined Forces and were sworn in as police officers in 2023.
15/03/2024,18544,Ivan Bartolo,Prime Minister,Public Service - Remote Work Statistics,What is the current percentage of the public service workforce that is utilizing formal remote working arrangements on a weekly basis?,"Based on the latest human resources audit, approximately 24% of the public service workforce is currently utilizing an approved remote working arrangement."
