Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/03/2024,23457,Ivan Bartolo,Social Policy and Children's Rights,Support Services - Youth,"Could the Minister provide a detailed breakdown of the number of young people currently utilising the government-funded counselling services offered by the Department, separated by age group and geographical location?","The Minister acknowledges the importance of accessible mental health support for young people. Currently, 872 young individuals are registered with the counselling services, distributed as follows: 12-17 (418), 18-24 (304), and 25-30 (150). Geographical distribution is as follows: Southern District (450), Northern District (350), Gozo (172)."
22/03/2024,23458,Chris Said,"Economy, European Funds and Lands",Lands - Development Applications,"What is the current backlog of planning application approvals within the South Malta Regional Plan area, and what measures are being implemented to expedite the processing of these applications?","The Ministry confirms a current backlog of 147 planning applications within the South Malta Regional Plan area. Efforts are underway to address this, including the recruitment of additional planning officers and the implementation of a streamlined approval process, with a projected reduction of 20% within the next six months."
29/03/2024,23459,Justin Schembri,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Recycling Targets,"Can the Minister state the percentage of household waste currently being successfully recycled according to official Ministry of Energy records, and what specific targets are set for the next three-year period?","According to the Ministry of Energy’s latest data, 68% of household waste is currently being successfully recycled. The target for the next three-year period is 80%, with specific milestones established for each year, monitored through regular audits and reporting."
05/04/2024,23460,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",Student Support - Bursaries,"What is the total number of students currently receiving bursary assistance from the Education Department, and what criteria are used to determine eligibility for this support?","Currently, 3,215 students are receiving bursary assistance. Eligibility is determined by a combination of factors, including household income, academic performance, and demonstrable financial need, as outlined in the Department’s policy document."
12/04/2024,23461,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Residential Facilities,"What is the current waiting list for admission to government-operated elderly care residential facilities across Malta and Gozo, and what steps are being taken to increase capacity?","The current waiting list for elderly care residential facilities stands at 218 individuals. The Ministry is actively pursuing the construction of two new facilities, with projected completion dates of 2026 and 2028, to address this demand."
19/04/2024,23462,Rebekah Borg,"Transport, Infrastructure and Public Works",Road Maintenance - Northern Route,"What specific budget allocation has been designated for the ongoing maintenance and repair works along the Northern Route, and what is the projected completion date for the most significant identified defects?","A budget allocation of €3.5 million has been designated for the Northern Route maintenance project. The most significant defects are scheduled for completion within the next 12 weeks, with ongoing preventative maintenance planned throughout the year."
26/04/2024,23463,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Police Training - New Recruit Intake,"What is the size of the current intake of newly recruited police officers, and what specific training modules are they currently undergoing?","The current intake comprises 45 newly recruited police officers. They are currently undertaking a comprehensive training program covering areas such as law enforcement procedures, community engagement, and conflict resolution."
03/05/2024,23464,Chris Said,"Economy, European Funds and Lands",Tourism Investment - Coastal Areas,"What is the confirmed budget allocation for tourism infrastructure projects planned for development in the coastal areas of Gozo, and what is the projected timeframe for their implementation?","The confirmed budget allocation for these projects is €12 million. The timeframe for implementation is phased, with the first phase of the project – the renovation of the Xlendi Bay promenade – scheduled for completion by the end of 2024."
10/05/2024,23465,Justin Schembri,"Environment, Energy and Regeneration of the Grand Harbour",Renewable Energy - Solar Farms,"What is the total installed capacity, in megawatts, of the newly commissioned solar farms currently contributing to the national grid, and what is the projected annual electricity generation output?","The currently commissioned solar farms have a combined installed capacity of 35 megawatts. Based on projected sunlight hours, these farms are expected to generate approximately 80,000 MWh of electricity annually."
17/05/2024,23466,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",School Transport - Route Coverage,"Can the Minister confirm the number of schools currently served by the government-operated school transport service, and what criteria are used to determine eligibility for transport assistance?","Currently, 87 schools are served by the government-operated school transport service. Eligibility is determined by distance to school, as defined in the Department’s transport policy guidelines, and a review process is conducted annually."
