row_index,target,assigned_category_id,assigned_category_name,predicted_category_id,predicted_category_name,accurate,confidence,rationale
0,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question directly requests specific statistical information – counts and breakdowns – making it a classic information-seeking question.
1,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question asks for a specific date and details regarding road maintenance, fitting the definition of an information-seeking question."
2,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks a list of schools with new equipment, a standard information-seeking request."
3,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question asks for a specific occupancy rate and related figures, clearly an information-seeking question."
4,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question requests a numerical value (number of beds) and details about a facility, aligning with the definition of an information-seeking question."
5,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question directly requests a numerical count of personnel, fitting the definition of an information-seeking question."
6,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question asks for a list of purchased equipment, a standard information-seeking request for details."
7,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question seeks specific locations of newly installed infrastructure, a clear information-seeking query."
8,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question asks for a numerical count of trees planted, aligning with the definition of an information-seeking question."
9,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question requests a numerical count of participants in a program, a quintessential information-seeking question."
10,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question directly requests specific numerical data (number of recruits) and is neutral in tone.
11,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks a specific statistic (number of approved applications) within a defined timeframe.
12,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question asks for a precise monetary figure (total EU funds disbursed) related to a specific scheme and timeframe.
13,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question requests a specific count (number of passengers) for a particular service and date.
14,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,"The question asks for a list of items, specifically those out of stock, related to a defined scheme and date."
15,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question seeks specific factual information about reservoir restoration numbers.
16,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,high,The question asks for a count of localities served by Community Policing teams.
17,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question contains an implicit criticism of project prioritization and suggests a failure.
18,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's claims about progress and highlights a rising waiting list.
19,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question expresses concern about a perceived decline in enforcement actions and suggests a bias towards development.
20,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question contains a direct accusation of failure and implies criticism of the Ministry's actions regarding teacher shortages.
21,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's justification for the delay and suggests a compromise of patient dignity.
22,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question accuses the program of being a PR exercise and directly challenges the Minister's explanation.
23,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies criticism of the scheduling and demands an admission of inadequacy.
24,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question directly challenges the Minister's explanation for the inconsistent service and asks about further subsidies.
25,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question contains a hidden accusation regarding the achievability of targets and implies criticism of enforcement efforts.
26,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's explanation regarding delayed repairs and suggests funds are being misallocated.
27,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question directly accuses a lack of capacity and implies a failure to protect victims.
28,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's justification for 'persons of trust' appointments and questions the meritocracy principle.
29,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implies criticism of the bypass designs by suggesting a prioritization of speed over pedestrian safety.
30,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question contains a direct accusation of a 'justice system in crisis' and seeks accountability for inaction.
31,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question implicitly criticizes the healthcare system's failure to manage demand and suggests a lack of effectiveness.
32,question,A2,Assertion / Hidden-Accusation Questions,A2,Assertion / Hidden-Accusation Questions,yes,high,The question challenges the Minister's commitment to public consultation and accuses it of being a superficial exercise.
33,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests a detailed schedule of maintenance, a clear directive for the Minister."
34,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question directly asks for a list of contractors, a clear request for information."
35,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests a list and timeframe, fitting the definition of a Request/Directive question."
36,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question demands a breakdown of expenditure, a clear directive for the Minister to provide a specific document."
37,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for a list of lease agreements, directly requesting an action from the Minister."
38,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question requests a list of equipment, a standard Request/Directive question."
39,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for confirmation of a contract and its tabling, a direct Request/Directive question."
40,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests a breakdown and timeframe, aligning with a directive request."
41,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question demands a list of recipients and amounts, clearly a request for information and action."
42,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for a timeframe for a tender process, directly requesting an action."
43,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question seeks a breakdown of statistics, a clear directive for the Minister to provide data."
44,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question demands a list of contracts, a direct request for documentation and information."
45,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question explicitly requests a table of documents and a timeframe, fitting the definition of a Request/Directive question."
46,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question directly asks for a detailed timeframe, a clear directive for the Minister."
47,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question demands a list of enforcement notices, a direct request for information and action."
48,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question requests a breakdown of costs, a clear directive for the Minister to provide a detailed financial report."
49,question,A3,Request / Directive Questions,A3,Request / Directive Questions,yes,high,"The question asks for a list of facilities undergoing maintenance, a direct request for information and action."
50,answer,B1,Replies (Direct Answers),B1,Replies (Direct Answers),yes,high,The answer directly provides the requested figures for refurbished social housing units in 2023.
51,answer,B1,Replies (Direct Answers),B1,Replies (Direct Answers),yes,high,"The answer directly responds to the question about increased fast ferry trips, specifying the number of additional trips and the start date."
52,answer,B1,Replies (Direct Answers),B1,Replies (Direct Answers),yes,high,The answer provides the exact total expenditure allocated for the school transport scheme.
53,answer,B1,Replies (Direct Answers),B1,Replies (Direct Answers),yes,high,The answer directly states the number of SMEs approved and funded under the Digitalization Scheme during the specified quarter.
54,answer,B1,Replies (Direct Answers),B1,Replies (Direct Answers),yes,high,The answer directly provides the number of social workers recruited to handle domestic violence cases since January 2024.
