Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/03/2024,25873,Chris Said,"Economy, European Funds and Lands",Management of EU Recovery Funds - Transparency,"Minister, given the reported delays in the disbursement of EU Recovery Funds, could you assure this House that robust and independent oversight mechanisms are in place to prevent any potential misuse or diversion of these funds?","The Ministry assures the House that meticulous procedures are being followed for the management and disbursement of EU Recovery Funds. Regular audits are conducted by external auditors, and we are committed to full transparency and accountability in this process."
22/03/2024,31249,Ivan Bartolo,Social Policy and Children's Rights,Childcare Services - Accessibility,"Minister, considering the significant waiting lists for subsidized childcare services across Malta, is the Department adequately addressing the systemic under-investment in this crucial sector?","The Department recognises the current pressures on childcare services. We are actively working to expand capacity and streamline the application process, while acknowledging the need for sustained investment to meet the growing demand."
29/03/2024,38512,Justin Schembri,"Environment, Energy and Regeneration of the Grand Harbour",Coastal Development - Environmental Impact,"Minister, in light of recent concerns regarding the potential ecological damage from proposed coastal developments, what specific measures are being implemented to ensure rigorous environmental impact assessments are conducted and adhered to?","The Ministry maintains a firm commitment to sustainable development. All coastal development projects undergo comprehensive environmental impact assessments, and strict adherence to best practices is enforced through rigorous monitoring and regulatory oversight."
05/04/2024,42967,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",University Funding - Research Output,"Minister, with the increasing investment in University research, can you provide concrete data demonstrating a corresponding rise in high-impact publications and scientific breakthroughs?",The Ministry is dedicated to fostering a thriving research environment at the University. We are focused on supporting strategic research initiatives and expect to see a positive correlation between investment and research output in the coming years.
12/04/2024,48135,Graziella Attard Previ,"Home Affairs, Security, Reforms and Equality",Police Training - Diversity & Inclusion,"Minister, given the importance of a diverse and inclusive police force, what specific training programmes are being implemented to address unconscious bias and promote cultural sensitivity amongst officers?","The Police Corps is undergoing a significant transformation. We are introducing mandatory training modules focusing on diversity, inclusion, and cultural sensitivity, alongside robust recruitment strategies to ensure a representative workforce."
19/04/2024,51589,Rebekah Borg,Health and Active Ageing,Waiting Times - Specialist Appointments,"Minister, considering the consistently reported lengthy waiting times for specialist appointments, what concrete steps are being taken to reduce these delays and improve patient access to essential healthcare services?","The Ministry acknowledges the challenges regarding specialist appointment waiting times. We are implementing strategies to optimise appointment scheduling, increase capacity, and explore innovative solutions to expedite patient access."
26/04/2024,57921,Ivan Castillo,"Transport, Infrastructure and Public Works",Road Maintenance - Prioritization,"Minister, given the evident deterioration of certain arterial roads, can you outline the transparent criteria used to prioritize road maintenance projects and ensure equitable distribution of resources?","The Ministry utilises a comprehensive assessment framework for road maintenance prioritization, factoring in traffic volume, safety concerns, and structural integrity. We are committed to transparency in our allocation processes."
03/05/2024,62348,Chris Said,"Economy, European Funds and Lands",Land Reclamation - Environmental Impact,"Minister, with continued land reclamation projects underway, what guarantees are in place to mitigate any potential long-term negative impacts on marine ecosystems and coastal biodiversity?","The Ministry is committed to responsible land management. All reclamation projects undergo rigorous environmental assessments, and we implement mitigation measures to minimize any potential impact on the marine environment."
10/05/2024,68715,Justin Schembri,Gozo,Tourism Investment - Sustainable Practices,"Minister, in relation to proposed tourism developments on Gozo, what assurances can be provided that these projects will adhere to sustainable tourism practices and minimize their impact on the island’s unique cultural heritage and natural environment?","The Ministry is dedicated to promoting sustainable tourism on Gozo. We are implementing strict guidelines for development projects, focusing on preserving Gozo’s heritage and environment."
17/05/2024,71592,Jerome Caruana Cilia,"Education, Sport, Youth, Research and Innovation",Student Support - Mental Health Services,"Minister, given the rising concerns about student mental health, what additional resources are being allocated to provide accessible and effective mental health support services within our educational institutions?","The Ministry recognises the importance of student wellbeing. We are increasing investment in mental health support services within schools and universities, ensuring students have access to timely and appropriate assistance."
