Date,PQ No.,MP,Question (EN),Answer (EN)
05/03/2024,12345,Ivan Bartolo,Parking Spaces - Dedicated Spaces for Disabled Persons in Valletta,"As of the latest quarterly report, Valletta has a total of 412 dedicated parking spaces for disabled persons, with 28 additional spaces reserved for electric vehicles. These figures reflect an increase of 15% compared to 2022, following infrastructural upgrades completed in Q4 2023. All new construction projects in Valletta are now legally required to include disabled parking in their plans."
12/03/2024,12356,Chris Said,Construction Permits - Average Processing Time in 2023,"In 2023, the average processing time for construction permits across Malta was 47 calendar days, a reduction of 8 days from the previous year. This improvement was achieved through the implementation of digital workflows and increased staffing in the Planning Authority. The shortest processing times were recorded for minor residential alterations (21 days), while major commercial projects averaged 89 days."
18/03/2024,12378,Justin Schembri,Energy Efficiency - Number of Retrofitted Public Buildings in 2023,"A total of 127 public buildings underwent energy efficiency retrofits in 2023, surpassing the annual target of 100 by 27%. These retrofits included installation of LED lighting, solar panels, and smart heating systems. The most significant projects were completed in state schools and health centres. The total investment amounted to €18.5 million."
22/03/2024,12389,Jerome Caruana Cilia,Social Housing - Number of Completed Units in 2023,"In 2023, 432 social housing units were completed across Malta, including 158 in Gozo. These units comprise a mix of affordable rental properties and shared ownership schemes. The completion rate exceeded the annual target by 8%, with 12 new projects initiated in the final quarter of 2023."
25/03/2024,12401,Graziella Attard Previ,School Infrastructure - Number of Schools Requiring Urgent Repairs,"As of February 2024, 23 state schools across Malta have been identified as requiring urgent structural repairs. These schools have been prioritised in the 2024-2025 capital works programme, with €12 million allocated for remedial works. The ministry is also exploring public-private partnerships to accelerate the rehabilitation of school buildings."
29/03/2024,12412,Rebekah Borg,Healthcare Staffing - Number of Nurses Recruited in 2023,"In 2023, a total of 342 nurses were recruited into the public healthcare system, the highest annual intake in the past decade. This includes 89 newly graduated nurses from the University of Malta. Additionally, 112 foreign nurses were recruited to address critical shortages in specialised departments."
02/04/2024,12423,Ivan Castillo,Transport Infrastructure - Completion Date for Marsa Flyover,"The Marsa Flyover is scheduled for completion by 30th September 2024, with 92% of the structural work already finalised. The project is on track to deliver a traffic flow improvement of 40% in the Marsa locality, as per the revised traffic impact assessment."
05/04/2024,12434,Ivan Bartolo,Grand Harbour Regeneration - Total Investment to Date,"To date, a total of €268 million has been invested in the Grand Harbour regeneration project since its inception in 2020. This includes €89 million allocated in the 2024 national budget. The project has created 312 direct employment opportunities and 547 indirect jobs, primarily in the maritime and construction sectors."
08/04/2024,12445,Chris Said,Youth Employment - Number of Internships Offered in 2023,"In 2023, the Government facilitated 2,145 internships for Maltese youth under the 'Youth Guarantee' programme. Of these, 1,287 were in private sector companies, while 858 were in public entities. The average stipend provided was €850 per month, with €420,000 allocated from the European Social Fund."
11/04/2024,12456,Justin Schembri,Gozo - Number of New Residential Units Completed in 2023,"In 2023, 189 new residential units were completed in Gozo. This includes 94 affordable housing units under the 'Housing Gozo' initiative and 45 units financed through private investment. The remaining 50 units were self-build schemes approved by the Gozo Ministry. The completion rate represents a 14% increase over 2022."
