Date,PQ No.,MP,Question (EN),Answer (EN)
12/03/2024,24567,Chris Said,Public Transport Routes - Review Progress,"The Ministry for Transport, Infrastructure and Public Works is currently reviewing public transport routes as part of its ongoing strategic planning. A comprehensive report highlighting key updates and proposed changes will be shared with stakeholders in due course."
05/04/2024,31289,Jerome Caruana Cilia,Grand Harbour Regeneration - Budget Allocation,"The Ministry for the Environment, Energy and Regeneration of the Grand Harbour is actively reviewing budgetary allocations for regeneration projects. Further details on allocations will be finalised following consultations with relevant stakeholders."
18/02/2024,19845,Graziella Attard Previ,School Infrastructure - Maintenance Backlog,"The Ministry for Education, Sport, Youth, Research and Innovation is addressing maintenance backlogs in school infrastructure through a phased approach. Progress reports are regularly updated and shared with the relevant authorities."
22/01/2024,15673,Ivan Bartolo,Construction Sector Reform - Licensing Delays,"The Ministry for Justice and Reform of the Construction Sector is streamlining licensing processes to reduce delays. Enhanced digital tools are being implemented to improve efficiency, with further updates expected in the coming months."
30/03/2024,27891,Rebekah Borg,Health Services - Emergency Department Wait Times,"The Ministry for Health and Active Ageing is continuously monitoring emergency department wait times. Measures to improve patient flow are being evaluated, with results anticipated within the next quarter."
10/05/2024,34562,Justin Schembri,Gozo - Direct Air Connectivity Enhancements,The Ministry for Gozo is exploring options to enhance direct air connectivity between Gozo and mainland Malta. Discussions with aviation stakeholders are underway to assess feasibility and potential timelines.
07/02/2024,18764,Ivan Castillo,Social Housing - Allocation Criteria Update,The Ministry for Social Policy and Children's Rights is reviewing social housing allocation criteria to ensure fairness and transparency. A revised framework is expected to be introduced following public consultation.
15/04/2024,29876,Jerome Caruana Cilia,Energy Efficiency - National Incentives Programme,"The Ministry for the Environment, Energy and Regeneration of the Grand Harbour is evaluating national incentives to promote energy efficiency. A detailed proposal will be presented to Cabinet for approval in the near future."
25/01/2024,14321,Graziella Attard Previ,Youth Employment - Skills Development Initiatives,"The Ministry for Education, Sport, Youth, Research and Innovation is actively developing skills enhancement programmes for youth employment. Pilot initiatives are being tested, with broader rollout planned subject to evaluation."
19/03/2024,26543,Chris Said,Public Sector Reform - Digital Transformation,The Ministry for the Prime Minister is advancing digital transformation initiatives across the public sector. Progress updates are regularly shared with the relevant parliamentary committees as part of ongoing transparency efforts.
