row_index,target,assigned_category_id,assigned_category_name,predicted_category_id,predicted_category_name,accurate,confidence,rationale
0,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the information-seeking category and provides specific details about the requested information.
1,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question falls under the category of information-seeking questions, as it requests specific information about the resurfacing project."
2,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the category of information-seeking questions and provides specific details about the requested information.
3,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the category of information-seeking questions and provides specific details about the industrial park's occupancy rate.
4,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the category of information-seeking questions and provides specific details about the facility's bed capacity.
5,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question focuses on gathering specific numerical information about the number of enforcement officers, which is an information-seeking question."
6,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question clearly falls under the information-seeking category, as it seeks specific details about the acquisition of firefighting equipment."
7,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question focuses on gathering specific information about the location of charging points, which is an information-seeking question."
8,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question focuses on gathering specific information about the afforestation project, which is an information-seeking question."
9,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question falls under both an information-seeking question and an assertion question, as it asks for both the number of participants and the specific program name."
10,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question focuses on generating an information-seeking question about recruitment numbers, which is a typical information-seeking question category."
11,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question clearly falls under the Information-Seeking Questions category, as it requests specific numerical data about the number of applications approved."
12,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,"The question focuses on gathering specific information about EU funding distribution to local SMEs, which is an information-seeking question."
13,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the category of information-seeking questions and the assigned category is accurate.
14,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,,"Can the Minister provide a list of medicines that were reported as out of stock under the Pharmacy of Your Choice (POYC) scheme as of April 15, 2024?"
15,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the category of information-seeking questions and provides specific details about the maintenance program and its goals.
16,question,A1,Information-Seeking Questions,A1,Information-Seeking Questions,yes,medium,The question clearly falls under the category of information-seeking questions and the assigned category is accurate.
17,question,A2,Assertion / Hidden-Accusation Questions,A1,Information-Seeking Questions,no,medium,"The question focuses on a specific issue (road maintenance) and seeks information about the government's response, suggesting an information-seeking question."
