Date,PQ No.,MP,Question (EN),Answer (EN)
12/03/2024,15432,Ivan Bartolo,"Social Housing - Waitlist Statistics. Can the Minister provide a detailed breakdown of the current waitlist for social housing units, categorized by locality and family size?",The information requested is still being compiled and will be provided in a future sitting.
14/03/2024,16201,Chris Said,Gozo - Permanent Link Project. Can the Minister state the current status of the geological studies regarding the proposed permanent link between Malta and Gozo?,I refer the Honorable Member to the answer given to Parliamentary Question 14890.
15/03/2024,17890,Justin Schembri,Schools - Maintenance Works. Can the Minister provide a list of all primary schools scheduled for structural maintenance during the upcoming summer recess?,"The Honorable Member is requested to direct this question to the Minister for Transport, Infrastructure and Public Works."
18/03/2024,18555,Jerome Caruana Cilia,Economy - Tax Rebates. Can the Minister provide the total value of tax rebates issued to small and medium enterprises during the last fiscal year?,The information is still being collected and will be given in another sitting.
20/03/2024,19234,Graziella Attard Previ,Health - Mental Health Services. Can the Minister provide the number of specialized psychiatric nurses currently employed within the community mental health clinics?,I refer the Honorable Member to the reply provided for Parliamentary Question 17543.
21/03/2024,20111,Rebekah Borg,Construction - Building Permits. Can the Minister state the number of permits issued for residential developments in ODZ areas between 2022 and 2023?,The Honorable Member is requested to direct this question to the Minister for Justice and Reform of the Construction Sector.
25/03/2024,21400,Ivan Castillo,Employment - Foreign Workers. Can the Minister provide a statistical report on the number of third-country nationals currently employed in the hospitality sector?,The information requested is still being processed and will be tabled at a later stage.
27/03/2024,22678,Ivan Bartolo,Elderly Care - Home Assistance. Can the Minister provide the average waiting time for elderly citizens applying for the 'Home Help' service?,I refer the Honorable Member to the answer given to Parliamentary Question 19902.
02/04/2024,23901,Chris Said,Gozo - Hospital Staffing. Can the Minister provide a list of vacancies for medical consultants currently open at the Gozo General Hospital?,The Honorable Member is requested to direct this question to the Minister for Health and Active Ageing.
04/04/2024,24550,Justin Schembri,Youth - Grant Schemes. Can the Minister provide a list of all non-governmental organizations that received funding through the Youth Empowerment Scheme in 2023?,The information is being gathered and will be presented in a forthcoming sitting.
08/04/2024,25777,Jerome Caruana Cilia,European Funds - Project Allocation. Can the Minister provide a breakdown of EU funds allocated to local councils for urban regeneration projects in the last three years?,I refer the Honorable Member to the comprehensive reply given to Parliamentary Question 21005.
10/04/2024,26333,Graziella Attard Previ,Domestic Violence - Support Units. Can the Minister state the number of reports filed at the specialized Domestic Violence Unit within the Police Force during the month of January 2024?,"The Honorable Member is requested to direct this question to the Minister for Home Affairs, Security, Reforms and Equality."
12/04/2024,27888,Rebekah Borg,Environment - Waste Management. Can the Minister provide data on the volume of recycled plastic exported for processing during the previous calendar year?,The information requested will be provided in another sitting as the data collection process is still underway.
15/04/2024,28112,Ivan Castillo,Port Infrastructure - Upgrades. Can the Minister provide a timeline for the completion of the dredging works at the Grand Harbour?,I refer the Honorable Member to the answer provided to Parliamentary Question 25671.
17/04/2024,29445,Ivan Bartolo,Social Benefits - Single Parents. Can the Minister state the number of single parents currently receiving the Tapering of Benefits allowance?,The Honorable Member is requested to direct this question to the Minister for Social Policy and Children's Rights.
19/04/2024,30123,Chris Said,Gozo - Fast Ferry Schedule. Can the Minister provide the number of trips cancelled by the fast ferry operators due to technical faults since January 2024?,The information is still being compiled and will be laid on the Table of the House in a future sitting.
