Date,PQ No.,MP,Question (EN),Answer (EN)
12/03/2024,21450,Ivan Bartolo,Community Center - Qormi Progress Update,The construction of the new community center in Qormi is currently 80% complete. It is anticipated that the facility will be fully operational and open to the public by the fourth quarter of 2024.
15/03/2024,21562,Chris Said,Rural Roads - Gozo Maintenance Works,"During the first two months of this year, three major rural roads in the localities of Xagħra and Nadur underwent extensive resurfacing and maintenance works to improve accessibility for local farmers."
18/03/2024,21789,Justin Schembri,Education - School Laptop Scheme Distribution,"Since the commencement of the current scholastic year in September, a total of 4,500 laptops have been distributed to Year 7 students across all state schools as part of the digital literacy program."
20/03/2024,22001,Jerome Caruana Cilia,Economy - SME Green Energy Grants,"For the fiscal year 2024, the government has allocated a total of €12 million specifically for grants aimed at assisting small and medium enterprises in their transition to green energy solutions."
22/03/2024,22345,Graziella Attard Previ,Social Policy - Foster Care Allowance Increases,"I can confirm that the foster care allowance was increased by €15 per week, with this change coming into legal effect on 1st January of this year to support families providing alternative care."
25/03/2024,22567,Rebekah Borg,Construction - Site Inspections Totals,"The Building and Construction Authority conducted a total of 1,240 site inspections during the first quarter of 2024 to ensure strict compliance with safety and environmental regulations."
28/03/2024,22890,Ivan Castillo,Home Affairs - Port Security Equipment Upgrades,"The maritime section of the police force has been strengthened with the commissioning of two new high-speed patrol boats, which were officially put into service last month to enhance coastal security."
02/04/2024,23112,Ivan Bartolo,Housing - Birkirkara Project Status,"The social housing project in Birkirkara, comprising 24 residential units, is in its final stages of interior finishing and is scheduled for allocation to eligible applicants by the end of June."
05/04/2024,23456,Chris Said,Health - MRI Wait Times in Gozo,"The current average waiting time for non-urgent MRI scans at the Gozo General Hospital stands at approximately five weeks, following the successful introduction of extended operating hours."
08/04/2024,23789,Justin Schembri,Youth Services - Regional Center Operating Hours,"All 12 regional youth centers have successfully transitioned to extended operating hours, now remaining open until 9:00 PM on all weekdays to provide better support services to the community."
11/04/2024,24012,Jerome Caruana Cilia,Energy - EV Charging Infrastructure Expansion,"The government has successfully installed 50 new electric vehicle charging points across various localities in the Northern region since the start of the current year, meeting the quarterly target."
14/04/2024,24345,Graziella Attard Previ,Social Policy - Domestic Violence Shelter Capacity,"Through recent investments, the total capacity of domestic violence shelters has been increased to 65 beds, distributed across three distinct locations to provide safer environments for victims and their children."
17/04/2024,24678,Rebekah Borg,Environment - Urban Tree Planting Totals,"During the winter planting season, a total of 2,300 indigenous trees were planted within urban parks and green spaces to enhance the local ecosystem and improve air quality in residential areas."
20/04/2024,25001,Ivan Castillo,Infrastructure - Industrial Park Security Measures,"Security measures at the Hal Far industrial park have been significantly upgraded, with the installation of new CCTV systems now providing 95% coverage of the perimeter and main access roads."
23/04/2024,25334,Chris Said,Transport - Mgarr Harbour Dredging Works,"The planned dredging works at Mgarr Harbour were successfully completed in February, resulting in the removal of 4,000 cubic meters of silt to maintain safe navigation depths for the ferry service."
26/04/2024,25667,Justin Schembri,Sport - Equipment Grants for Local Clubs,"During this quarter, 45 local sports clubs were awarded grants totaling €250,000, which are intended for the purchase of new training equipment and necessary facility upgrades."
29/04/2024,26000,Ivan Bartolo,Social Policy - Pensioner Utility Credit Renewal,"Yes, the utility credit scheme for low-income pensioners has been officially renewed for the duration of 2024, providing essential financial relief to those most in need."
