Date,PQ No.,MP,Question (EN),Answer (EN)
12/10/2023,14501,Ivan Bartolo,Social Housing - Birkirkara Project Costs: Can the Minister provide the total expenditure incurred to date on the new social housing block in Birkirkara?,"I am informed that the project is currently in the procurement phase for finishing works, and the final costs will be determined once all tenders are adjudicated and the works are completed."
15/11/2023,18230,Chris Said,Gozo Swimming Pool - Completion Date: Will the Minister state the exact date when the Gozo regional swimming pool will be open to the public?,"Work on the site is progressing according to the revised technical specifications required for the facility, and an announcement regarding the opening will be made in due course."
22/01/2024,21445,Justin Schembri,Education - Laptop Distribution: Can the Minister state how many laptops have been distributed to Year 7 students during the current scholastic year?,The distribution process is currently ongoing across all state schools to ensure that every eligible student receives the necessary technological equipment as part of our digital literacy strategy.
05/02/2024,23112,Jerome Caruana Cilia,Economy - SME Grants: Can the Minister provide the specific budget allocated for the new SME grant scheme for the first quarter of 2024?,Funds for the support of small and medium enterprises are allocated based on the volume of eligible applications received and the evaluation of the economic impact of the proposed projects.
18/03/2024,25678,Graziella Attard Previ,Social Policy - Domestic Violence Shelters: Can the Minister provide the location of the proposed new shelter for victims of domestic violence?,"I inform the Honorable Member that various strategic locations are currently being evaluated to ensure that the facility provides maximum safety, privacy, and accessibility for those in need."
02/04/2024,28901,Rebekah Borg,Environment - Xghajra Project Impact: Can the Minister provide the findings of the environmental impact report for the proposed regeneration project in Xghajra?,The necessary environmental and technical studies are being compiled by the relevant authorities and will be made available once the consultation phase is concluded.
14/05/2024,31223,Ivan Castillo,Home Affairs - Construction Inspections: How many workplace safety inspections were carried out by the OHSA in the construction sector during April 2024?,The Occupational Health and Safety Authority carries out inspections on a daily basis across various sites to ensure that all health and safety regulations are being strictly followed by contractors.
20/06/2024,33456,Ivan Bartolo,Social Policy - Ministry Consultants: Can the Minister provide a full list of consultants currently engaged with the Ministry for Social Policy and Children's Rights?,Consultants are engaged by the Ministry based on the specific technical and professional requirements of the various projects and initiatives currently being implemented.
08/07/2024,35671,Chris Said,"Gozo - Victoria Traffic Management: Can the Minister provide the details of the new traffic management plan for Victoria, Gozo?","A comprehensive study is currently being finalized to address the evolving traffic requirements of the region, with the aim of improving the flow of vehicles and pedestrian safety in the capital."
15/09/2024,37889,Justin Schembri,"Education - Teacher Shortage: Can the Minister provide the current number of teacher vacancies for the upcoming scholastic year, broken down by subject?",Recruitment and deployment processes are currently active to ensure that all classrooms in state schools are adequately staffed for the commencement of the new scholastic year.
30/09/2024,38112,Jerome Caruana Cilia,Economy - Land Lease Revenue: What is the projected annual revenue from the recently signed land lease agreement for the industrial park extension?,The revenue generated from the lease will be determined by the final terms and conditions established during the negotiation phase and the subsequent development of the site.
12/10/2024,39005,Graziella Attard Previ,Health - Floriana Clinic Upgrade: When will the refurbishment works on the Floriana health clinic be completed?,"The project is part of a wider modernization program for primary healthcare facilities, and works are being scheduled to minimize disruption to the services provided to the community."
05/11/2024,39554,Rebekah Borg,Justice - Arbitration Legal Fees: Can the Minister state the total amount paid in legal fees for the international arbitration case regarding the energy sector?,Legal costs associated with such proceedings are subject to audit and will be reported in the Ministry’s annual financial statements in accordance with standard procedures.
19/11/2024,39887,Ivan Castillo,Transport - Electric Bus Fleet: How many new electric buses have been added to the public transport fleet since January 2024?,The fleet renewal program is progressing in line with our established green transition targets to ensure a more sustainable public transport network for all commuters.
01/12/2024,40120,Chris Said,Gozo - NGO Funding: What is the total amount of funding allocated specifically for Gozitan NGOs in the 2025 budget?,Support for non-governmental organizations in Gozo remains a priority and will be addressed through the various budgetary measures and grant schemes planned for the coming year.
10/12/2024,40500,Justin Schembri,Sport - Marsa Complex Status: Can the Minister provide an update on the status of the new sports complex in Marsa?,Technical assessments and site preparations are being finalized to allow the next phase of construction to commence according to the project's master plan.
