Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
12/10/2023,15401,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Maintenance Requests,"Can the Minister table a list of maintenance requests for social housing units in Birkirkara for the year 2022, including the date of the request and the date of completion?","I am tabling the information requested by the Honorable Member, which includes a breakdown of maintenance types and their current status."
15/10/2023,15450,Chris Said,Gozo,Gozo - Road Infrastructure Projects,Will the Minister provide a timeframe for the completion of the road works currently underway in Marsalforn and list the contractors involved?,The works are currently in the second phase and are expected to be completed by the second quarter of next year. The list of contractors is being tabled.
18/10/2023,16120,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Schools - Sports Facilities Upgrade,Can the Minister publish a breakdown of the expenditure allocated for the upgrading of sports facilities in state secondary schools during the last scholastic year?,The requested information is being compiled and will be placed on the Table of the House in a future sitting.
20/10/2023,16890,Jerome Caruana Cilia,"Economy, European Funds and Lands",Industrial Estates - New Leases,Will the Minister table a list of all new lease agreements signed for industrial units in the Ħal Far Industrial Estate between January and June 2023?,"I am tabling a document containing the list of lease agreements as requested by the Honorable Member, subject to commercial confidentiality clauses."
22/10/2023,17234,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Staffing Levels,Can the Minister confirm the number of registered nurses currently employed at the St. Vincent de Paul Residence and provide a breakdown by ward?,"I am placing on the Table of the House the current staffing levels for nurses at the residence, categorized by their respective departments."
25/10/2023,18012,Rebekah Borg,Justice and Reform of the Construction Sector,Construction - Safety Inspections,Will the Minister provide a list of construction sites that were issued with a stop-work notice due to safety violations during the third quarter of 2023?,The information regarding stop-work notices issued by the Building and Construction Authority is being tabled herewith.
28/10/2023,18555,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Police Force - Vehicle Fleet,"Can the Minister table a list of new vehicles acquired by the Malta Police Force in the last 12 months, including the procurement cost and the specific department they were assigned to?",I am tabling the requested information regarding the procurement of vehicles for the Police Force during the specified period.
02/11/2023,19100,Ivan Bartolo,Prime Minister,Public Service - Remote Working Policy,Will the Prime Minister publish the latest reports or assessments regarding the effectiveness of the remote working policy within the public service?,"The assessments are internal documents used for policy refinement; however, a summary of the key findings is being tabled for the House."
05/11/2023,19450,Chris Said,"Transport, Infrastructure and Public Works",Public Transport - Route Extensions,Can the Minister confirm if there are plans to extend bus routes to the Ta' Dbieġi Crafts Village in Gozo and provide a projected timeframe for implementation?,"Discussions are ongoing with the operator to evaluate route feasibility, and a decision on the timeframe is expected by the end of the current year."
08/11/2023,20111,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Literacy Programs - Funding Allocation,Will the Minister provide a breakdown of the funds allocated to adult literacy programs for the 2023-2024 academic year?,The financial breakdown for adult literacy programs is being tabled as requested by the Honorable Member.
10/11/2023,20567,Jerome Caruana Cilia,"Economy, European Funds and Lands",EU Funds - Digitalization Grants,Can the Minister table a list of small and medium enterprises (SMEs) that have successfully applied for digitalization grants under the Business Enhance scheme in 2023?,I am tabling the list of beneficiaries who have received approval for digitalization grants during the current calendar year.
12/11/2023,21003,Graziella Attard Previ,Social Policy and Children's Rights,Childcare Centers - Subsidies,Will the Minister provide a list of private childcare centers currently participating in the Free Childcare Scheme and the total amount of subsidies paid to each in 2022?,The list of participating centers and the respective subsidy amounts is being placed on the Table of the House.
15/11/2023,21456,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Renewable Energy - Solar Farm Permits,"Can the Minister provide a list of pending applications for large-scale solar farms currently being reviewed by the relevant authorities, including their proposed locations?","I am tabling a list of the applications currently under technical review, including their proposed locations and capacities."
18/11/2023,22100,Ivan Castillo,"Home Affairs, Security, Reforms and Equality",Civil Protection - Equipment Procurement,Will the Minister table a copy of the contract signed for the procurement of new fire engines for the Civil Protection Department earlier this year?,"A version of the contract, respecting commercial sensitivity, is being tabled for the information of the House."
20/11/2023,22500,Ivan Bartolo,Social Policy and Children's Rights,Disability Benefits - Assessment Wait Times,Can the Minister provide the average timeframe for the processing of applications for the Increased Severe Disability Assistance from the date of submission to the medical board review?,"The current average processing time is approximately eight weeks, and efforts are being made to further reduce this duration."
22/11/2023,23012,Chris Said,Gozo,Gozo - Cultural Events Funding,Will the Minister table a breakdown of the financial assistance provided to local councils in Gozo for the organization of cultural events during the summer of 2023?,"I am placing the requested information on the Table of the House, detailing the grants allocated to each local council."
25/11/2023,23567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",University of Malta - Research Grants,Can the Minister provide a list of research projects at the University of Malta that received government funding through the Research and Innovation Fund in 2022?,"The list of funded research projects, including the title and the amount awarded to each, is being tabled herewith."
