Date,PQ No.,MP,Ministry (EN),Title (EN),Question (EN),Answer (EN)
15/05/2023,12450,Ivan Bartolo,Social Policy and Children's Rights,Social Housing - Units in Birkirkara,Can the Minister state the number of social housing units currently under construction in Birkirkara and provide an estimated date for their completion?,"I am informed that there are currently 42 social housing units being constructed in the Birkirkara area, with structural works nearing completion. It is anticipated that these units will be ready for allocation by the end of the fourth quarter of 2024."
18/05/2023,13210,Chris Said,Gozo,Road Maintenance - Victoria,"Can the Minister provide a list of roads in Victoria, Gozo scheduled for resurfacing in the next six months under the current regional infrastructure program?",The Ministry plans to resurface Triq l-Imgħallem and Triq San Ġorġ during the next two quarters. These works are part of the ongoing commitment to improve the secondary road network within the Gozitan capital.
22/05/2023,14567,Justin Schembri,"Education, Sport, Youth, Research and Innovation",School Repairs - Primary Schools,Can the Minister list the primary schools that underwent structural repairs or major maintenance during the 2022/2023 scholastic year?,"During the 2022/2023 scholastic year, structural repairs and major maintenance were carried out in 14 primary schools, including facilities in Qormi, Żabbar, and Mellieħa, to ensure a safe learning environment."
01/06/2023,15890,Jerome Caruana Cilia,"Economy, European Funds and Lands",Industrial Parks - Marsa,Can the Minister state the current occupancy rate of the Marsa Industrial Estate and the number of active commercial tenants currently registered there?,"As of May 2023, the occupancy rate of the Marsa Industrial Estate stands at 94%. There are currently 112 active commercial tenants operating within the estate across various industrial sectors."
05/06/2023,16234,Graziella Attard Previ,Health and Active Ageing,Elderly Care - Respite Services,Can the Minister provide the number of elderly persons currently on the waiting list for residential respite services in government-run facilities?,There are currently 85 individuals registered on the waiting list for residential respite services across all government-funded elderly care facilities. Efforts are being made to increase bed capacity through public-private partnerships.
12/06/2023,17456,Rebekah Borg,"Environment, Energy and Regeneration of the Grand Harbour",Waste Management - Recycling Tonnage,Can the Minister provide the total tonnage of plastic waste collected through the 'Grey Bag' scheme during the calendar year 2022?,"In 2022, a total of 12,450 tonnes of plastic waste was collected and processed through the nationwide door-to-door recycling scheme, representing a 5% increase over the previous year."
15/06/2023,18901,Ivan Castillo,"Transport, Infrastructure and Public Works",Public Transport - Route 13A,Can the Minister provide the average frequency of Route 13A during peak morning hours and state if there are plans to increase the number of trips?,Route 13A operates with a frequency of every 15 minutes between 07:00 and 09:00 on weekdays. The authority is currently reviewing passenger data to determine if additional trips are required for the winter schedule.
20/06/2023,19543,Ivan Bartolo,"Home Affairs, Security, Reforms and Equality",Community Policing - Mosta,Can the Minister state the number of police officers currently assigned to the Community Policing team in the locality of Mosta?,The Mosta Community Policing team currently consists of one sergeant and six constables. This team is supported by the district police and the Rapid Intervention Unit when necessary.
25/06/2023,20112,Chris Said,Justice and Reform of the Construction Sector,Construction - Site Inspections,Can the Minister state how many site inspections were conducted by the Building and Construction Authority in Gozo during the month of April 2023?,"During April 2023, the Building and Construction Authority carried out 142 site inspections across various localities in Gozo to ensure compliance with safety and environmental regulations."
30/06/2023,21876,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Sports Facilities - National Pool,Can the Minister state the total expenditure on maintenance and equipment upgrades for the National Pool Complex in the year 2022?,"The total expenditure for maintenance and equipment upgrades at the National Pool Complex in 2022 amounted to €315,000, which included the installation of new heating systems and pool filtration components."
03/07/2023,22543,Jerome Caruana Cilia,Prime Minister,Public Sector - New Recruits,Can the Prime Minister state how many new employees were recruited into the public service between January and June 2023?,"A total of 412 new employees joined the public service in the first six months of 2023. These recruitments were primarily intended to fill vacancies in health, education, and regulatory sectors."
07/07/2023,23980,Graziella Attard Previ,Social Policy and Children's Rights,Childcare - Enrollment Numbers,Can the Minister provide the number of children currently enrolled in the Free Childcare Scheme as of the end of June 2023?,"As of the end of June 2023, there were 7,842 children benefiting from the Free Childcare Scheme, which includes both government-run and private centers participating in the program."
12/07/2023,24561,Rebekah Borg,Health and Active Ageing,Health - MRI Wait Times,Can the Minister state the average waiting time for a non-urgent MRI scan at Mater Dei Hospital for patients referred in the last quarter?,The current average waiting time for a non-urgent MRI scan is approximately 14 weeks. Urgent cases continue to be prioritized and are typically seen within 48 to 72 hours.
15/07/2023,25872,Ivan Castillo,"Economy, European Funds and Lands",SME Grants - Tech Startups,Can the Minister state the total amount of funds disbursed to tech startups through Malta Enterprise grants in the calendar year 2022?,"In 2022, Malta Enterprise disbursed a total of €2.1 million in grants and tax credits to 18 tech-oriented startups through various schemes designed to encourage innovation."
20/07/2023,26789,Chris Said,Gozo,Tourism - Gozo Cultural Events,Can the Minister provide the total budget allocated for cultural events in Gozo for the summer season of 2023?,"The Ministry for Gozo has allocated a budget of €450,000 for the organization and support of cultural events during the 2023 summer season, including the Opera in the City and various village festivals."
25/07/2023,27432,Justin Schembri,"Education, Sport, Youth, Research and Innovation",Digital Literacy - Laptop Distribution,Can the Minister state how many laptops were distributed to Year 7 students during the current scholastic year under the digital literacy initiative?,"Under the current digital literacy program, 5,200 laptops were distributed to Year 7 students in state, church, and independent schools during the 2022/2023 scholastic year."
28/07/2023,28110,Ivan Bartolo,"Transport, Infrastructure and Public Works",Maritime - Yacht Berths,Can the Minister provide the number of new yacht berths created in the Grand Harbour area over the last 24 months?,"Over the past 24 months, 120 additional yacht berths have been established through the refurbishment of existing quays and new pontoon installations in various parts of the Grand Harbour."
