Date,PQ No.,MP,Question (EN),Answer (EN)
12/03/2024,15432,Chris Said,Gozo - New Regional Library: Can the Minister state the exact date when the construction of the new regional library in Victoria will be completed and open to the public?,Works on the structural phase of the project are progressing in line with the revised procurement schedule. A definitive completion date will be announced once the interior fitting and furniture tender is awarded and the subsequent timeline is established by the contractor.
15/03/2024,16210,Ivan Bartolo,"Social Housing - Allocation Criteria: Will the Minister provide the specific list of applicants currently waiting for social housing in the Birkirkara area, categorized by their priority points?",The allocation process follows a points-based system established by the Housing Authority. Updates regarding the status of applications are provided directly to individual applicants as their files undergo the various stages of verification and means testing.
18/03/2024,17554,Rebekah Borg,Environment - Air Quality Monitoring: Can the Minister provide the raw data for air quality readings in the Birżebbuġa industrial zone for each month of the last half-year?,"The monitoring stations in the specified area are part of the national air quality network. The Environment and Resources Authority is currently compiling the annual consolidated report, which will include localized data analysis once all readings are verified against international standards."
22/03/2024,18902,Jerome Caruana Cilia,Economy - SME Grants: How many small businesses in the manufacturing sector received the 'Green Transition' grant during the 2023 fiscal year?,The grant scheme remains subject to ongoing evaluation processes. The final number of successful beneficiaries will be determined and published once all pending appeals and financial audits for the previous fiscal cycle are concluded.
25/03/2024,19331,Justin Schembri,Education - School Maintenance: When will the extensive maintenance and roof repairs on the primary school in Qormi be finalized?,"The Foundation for Tomorrow's Schools is currently overseeing several modernization projects across the district. The school in question has been identified for prioritization within the current budgetary cycle, and works will proceed according to the availability of specialized contractors."
28/03/2024,20115,Graziella Attard Previ,Social Policy - Domestic Violence Shelters: Will the Minister state the exact number of beds currently available and unoccupied in state-funded domestic violence shelters?,"The Ministry ensures that no person seeking emergency shelter is turned away. We utilize a flexible network of both state and NGO-run facilities to provide the necessary support, with capacity being managed dynamically based on the volume of referrals received by the social services."
02/04/2024,21440,Ivan Castillo,Transport - Maritime Safety: Can the Minister provide the specific date when the new CCTV and vessel tracking system for the Grand Harbour will be fully operational?,"The installation phase of the maritime security project is nearing its conclusion. The system is scheduled to enter a rigorous testing and integration phase shortly, after which it will be handed over to the relevant port authorities for full activation."
05/04/2024,22876,Chris Said,"Gozo - Medical Equipment: Has the new MRI scanner for the Gozo General Hospital been ordered, and on what date is it expected to arrive on the island?",The procurement process for advanced diagnostic imaging equipment is being handled through a centralized tender. This process is currently in the technical evaluation stage to ensure that the equipment meets all clinical specifications required for the Gozo hospital facility.
09/04/2024,23559,Rebekah Borg,Infrastructure - Road Re-surfacing: Can the Minister provide a comprehensive list of all residential roads in Attard scheduled for resurfacing during the next quarter?,"Infrastructure Malta evaluates road works based on technical assessments, traffic impact, and utility requirements. The schedule for residential road works is updated periodically on the agency's digital platform as the necessary permits from various entities are approved."
12/04/2024,24991,Jerome Caruana Cilia,Justice - Court Delays: How many civil cases have been pending for a period of more than five years within the Family Court?,Efforts to address judicial delays are ongoing through the appointment of additional members of the judiciary and the implementation of digital court reforms. These measures are expected to significantly improve the processing time of the court registry across all divisions.
